UniqueCount	AmbigCount
1098	9
179	2
0	265
0	248
0	111
0	0
0	240
0	240
207	2
1	5191
1069	5195
396	593
0	589
0	469
0	346
0	346
19	346
9	0
0	2754
0	2715
0	2728
0	2661
0	2700
223	1
206	2
2128	19
0	0
0	1
4	1
2	0
0	534
1	665
8	610
315	3
7	0
0	215
5	215
0	8
0	0
0	0
0	0
3	226
0	226
0	0
0	2
1	178
0	2
1	2
0	2
0	0
0	0
0	0
0	0
3	0
1	0
0	1418
3	1781
0	1557
61	1467
299	1992
0	1648
55	1787
10	166
38	166
0	286
31	286
0	89
7	89
310	2
0	0
99	4
0	0
0	1090
0	1088
0	1096
16	1170
4	1156
2	1138
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
155	0
2	0
0	209
0	205
1	209
0	1
0	1
0	0
0	0
0	0
0	21
25	21
0	0
0	0
0	0
0	863
0	846
0	0
24	0
2	0
0	1
3	1
4	41
0	41
3	0
0	0
0	0
0	0
10	1402
8	1402
1	72
0	72
10	917
0	917
0	0
3	0
0	0
0	0
1161	10
0	0
0	118
0	127
0	106
0	54
0	78
0	101
0	67
0	109
0	91
0	115
0	94
7	116
0	109
0	0
70	1
0	1736
18	1398
0	1736
0	0
20	0
0	3
0	2
0	3
0	3
0	3
56	0
1	0
0	0
0	87
31	87
2952	25
7	0
3	122
0	122
0	95
0	24345
0	27054
0	1
0	1
302	8
2	0
0	0
3	197
3	197
0	197
18	0
1	0
0	0
236	3
2	3393
73	3394
25	0
240	6
5	161
0	0
340	5
188	7847
0	7845
18	312
0	312
1	313
0	313
0	0
0	154
0	154
2	156
0	156
1	154
0	1061
44	1061
389	17654
989	17660
1	0
1	1
0	1
112	1328
0	221
8	219
1	34
8	34
0	1356
1	1249
1	1335
0	1343
0	1367
767	2
155	0
0	0
0	77
0	77
1	0
0	0
0	0
9	0
153	3
0	2632
0	2668
46	2668
49	584
0	583
0	0
0	141
0	141
0	232
0	323
692	355
0	179
0	348
8	343
0	118
2	123
0	107
0	123
0	123
846	6
648	6
182	1
2	0
0	0
0	0
0	0
369	12
168	3
17	851
19	851
1	0
1	662
0	658
6	655
0	575
44	1
109	1
0	349
0	370
0	332
0	387
0	1
0	0
0	0
3	123
0	123
0	83
103	0
0	0
209	3
0	0
0	342
0	342
7	239
2	239
235	4
0	0
0	0
0	0
17	1
203	1
0	624
9	526
0	402
225	0
29	2702
735	3994
15	3456
0	4019
22	1
0	798
23	824
2	798
6	824
1653	692
14	679
0	679
490	7
0	5
1	5
39	0
113	415
3	396
14	375
0	0
0	97
4	97
3942	904
0	816
0	828
0	874
70	1
65	2
0	0
1	0
0	0
0	0
0	0
959	14
0	0
13	182
0	182
1	0
65	0
296	1185
34	1184
0	4
0	4
2841	30
68	1
1054	15
0	9
2	9
0	0
0	0
