UniqueCount	AmbigCount
957	12
181	3
0	359
0	341
0	137
0	0
0	261
3	261
225	1
2	4995
1129	5003
323	688
1	686
1	574
1	393
1	398
19	398
2	0
0	2523
0	2478
0	2475
0	2435
0	2480
155	0
142	2
1260	10
2	0
0	1
0	1
4	0
1	572
0	725
17	680
258	2
9	0
0	174
3	174
0	10
0	2
0	2
1	0
4	216
0	216
0	0
0	6
1	164
0	6
2	1
0	1
0	0
0	0
0	0
0	0
3	0
1	0
0	1265
3	1679
0	1458
64	1399
330	1830
0	1490
39	1685
9	145
33	144
0	151
13	152
0	85
8	85
295	2
0	0
78	5
0	0
0	1011
0	1004
1	1153
19	1235
1	1212
3	1189
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
174	1
0	0
0	181
0	179
0	181
0	0
0	0
1	0
0	0
0	0
0	39
37	39
0	0
0	0
0	0
0	829
0	809
0	0
9	0
2	0
0	2
0	2
4	41
0	41
5	0
0	1
0	1
0	1
6	1592
19	1592
1	62
0	62
14	1214
0	1214
0	0
0	0
0	0
0	0
1051	8
0	0
0	117
0	124
0	107
0	57
0	75
0	103
0	68
0	107
0	100
0	114
0	103
9	106
0	107
1	0
79	0
4	1114
12	891
0	1114
0	0
5	0
0	4
0	4
0	4
0	4
0	4
11	0
2	0
0	0
0	113
44	113
4267	29
10	0
1	8
0	8
0	47
0	14897
0	16693
0	0
0	0
313	3
0	0
1	0
14	193
4	193
2	193
68	0
2	0
0	0
224	2
1	3770
126	3771
28	0
174	2
3	235
0	0
190	2
180	8410
0	8410
18	273
0	273
0	276
1	276
2	0
0	69
0	69
1	70
0	70
0	69
0	529
10	530
301	15986
964	15992
1	0
2	0
0	0
102	1397
0	279
7	275
0	32
5	32
0	1356
0	1264
2	1337
0	1353
0	1387
646	4
146	0
0	0
0	122
0	122
0	0
0	0
0	0
5	0
93	1
1	2398
0	2433
35	2433
91	723
0	723
0	0
0	197
2	197
3	303
0	424
787	453
0	257
2	441
5	437
0	100
0	102
0	88
0	103
0	105
365	2
299	3
136	0
2	0
2	0
0	0
0	0
311	0
168	2
22	793
19	793
0	0
