UniqueCount	AmbigCount
985	5
193	0
0	337
0	327
1	102
0	0
0	259
4	259
211	1
2	5204
1291	5212
322	721
1	717
0	597
3	415
1	417
18	417
7	0
0	2633
0	2581
0	2599
0	2551
0	2603
142	5
181	3
1399	9
0	0
0	0
0	0
1	0
0	589
0	717
12	671
249	1
6	0
0	199
1	199
0	2
0	1
0	1
4	0
7	232
0	232
0	0
0	5
0	187
1	4
0	0
0	0
0	0
0	0
0	0
0	0
4	0
1	1
0	1464
0	1826
0	1626
64	1569
365	2019
0	1668
43	1830
10	108
19	108
0	183
18	184
0	90
11	90
258	4
0	0
95	3
0	0
3	964
0	962
0	1084
14	1151
1	1114
4	1093
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
182	3
0	0
1	180
0	176
1	180
0	0
0	0
0	1
0	1
0	0
0	15
40	15
0	0
0	0
0	0
0	884
0	859
0	0
7	0
1	0
0	3
0	3
9	28
0	28
2	0
0	0
0	0
0	0
14	1607
15	1607
1	73
0	73
16	1162
0	1162
0	0
0	0
0	0
0	0
1162	6
0	0
0	199
0	218
0	194
0	100
0	141
0	179
0	114
0	194
0	157
0	190
0	166
9	186
0	194
0	0
57	0
0	1136
12	920
0	1136
0	0
23	1
0	5
0	4
0	5
0	5
0	5
17	0
3	0
0	0
0	120
37	120
3816	26
11	1
0	55
0	55
0	37
0	17693
0	19699
0	0
0	0
418	2
0	0
0	0
6	205
0	204
2	204
81	0
0	0
0	0
246	1
0	4153
133	4154
25	0
252	5
3	236
0	0
217	1
177	8683
0	8681
12	284
0	283
1	285
0	285
0	0
0	89
0	89
3	89
0	89
0	89
0	641
9	641
284	17917
1012	17926
2	0
0	1
0	1
146	1417
0	262
8	256
0	44
8	44
0	1371
0	1285
2	1348
1	1365
0	1400
748	6
137	0
1	0
0	102
0	102
1	0
0	1
0	1
3	0
92	0
7	2675
0	2723
28	2723
109	776
0	776
0	0
0	168
6	168
5	322
0	463
745	498
0	286
0	464
12	461
0	95
3	100
0	86
0	100
0	103
434	4
450	4
136	1
0	0
0	0
0	0
0	0
237	2
168	2
17	802
18	801
1	0
1	789
0	784
10	782
0	670
47	0
83	0
0	473
0	502
0	446
0	529
0	0
1	0
0	0
0	90
0	90
0	62
100	1
0	0
133	1
0	0
0	359
0	359
12	185
1	185
227	3
0	0
0	0
0	0
18	0
152	0
0	553
7	455
0	392
172	1
29	2722
853	4333
19	3625
0	4353
36	0
0	960
30	1012
21	960
6	1013
1548	980
30	973
0	973
433	2
0	1
1	1
185	3
120	498
4	477
13	456
1	0
0	117
3	117
4645	1372
0	1267
0	1270
0	1354
56	0
47	0
0	0
0	0
0	0
0	1
0	0
1062	3
0	0
26	294
1	294
0	0
37	0
236	1102
31	1102
0	2
0	2
1964	10
42	0
1105	10
0	3
0	3
0	3
1	3
0	16
0	16
227	5
223	1
0	3269
57	4623
0	3286
0	3325
0	1543
15	3184
4	4983
1	3212
2	1551
870	5
0	0
0	550
1123	682
18	710
8	0
349	2
162	188
34	0
2	553
7	553
5	295
37	297
0	296
389	297
1	18
0	18
0	2334
0	931
0	835
0	986
6	921
0	2485
1	3383
0	3494
0	3463
0	3415
0	3384
643	8
0	0
0	333
12	333
4	1047
80	1175
0	1181
0	3488
141	3440
391	2
6	0
6	3503
0	1310
4	3503
0	3516
0	1302
0	3528
1	2812
7	3519
1	5
0	11
0	12
0	12
0	0
0	56
0	56
0	0
0	0
0	189
5	204
6	195
1	189
4	204
596	5
30	0
0	89
0	90
0	97
0	90
0	97
0	4
1	132
0	4
1137	5
25	119
1	119
1074	687
0	683
173	1
454	2
0	0
1	0
0	1
0	1
0	1
2	0
0	0
0	0
0	0
0	0
16	321
0	320
13	836
8	602
0	836
0	602
33	93
0	93
0	1
0	1
0	147
3	147
8	147
9	0
2	0
4	195
0	195
7	0
108	0
12	89
0	89
8	86
0	1343
6	1130
0	1343
8	68
2	68
13	67
72	0
0	23
0	23
5	0
35	0
75	285
3	285
0	0
0	0
0	2
0	2
0	2
0	0
0	397
0	196
1	389
1	389
0	193
8	196
3	0
2	128
6	128
3	104
541	1
3	12
0	11
0	12
0	0
0	0
1	0
1	0
0	0
1	0
3	23
0	23
0	23
0	23
7	0
163	0
10	75
0	75
1	0
138	1
0	3
114	5
22	362
0	362
370	0
1355	6
0	3
0	162
0	162
5	162
0	0
0	0
169	1
25	23
0	23
4	0
0	0
0	2483
0	2629
0	3007
0	2843
75	2671
0	2609
0	5
0	5
11	5
2	0
183	1
0	0
0	0
2	0
0	6
1	6
0	7
0	7
153	1
1	0
2	0
0	0
0	0
0	953
94	954
314	967
5	190
0	190
0	3123
0	3620
0	6320
1	3013
567	6320
0	3179
0	657
0	2186
0	914
1	914
0	939
0	1222
825	2162
98	0
607	3
0	452
9	452
470	2170
0	2164
5	0
148	1
109	1064
0	1064
0	166
2	166
291	0
78	0
9	0
36	914
0	1101
16	1101
0	1
0	1
77	251
0	250
329	0
238	5
7	294
6	294
1	294
0	1353
0	1362
0	1334
23	1306
0	1343
4	1284
3	520
9	543
106	518
12	545
6	0
116	1
0	0
0	0
4	0
4	9
1	9
0	0
0	0
36	963
39	963
4	0
5	0
0	0
0	0
0	0
1	0
0	7
0	7
15	1933
1	1735
42	1841
0	1933
52	0
8	272
0	272
1	1
39	0
278	1
108	1068
2209	1077
0	133
0	133
0	0
0	339
86	339
0	0
216	1
0	0
358	1
1	816
0	1194
0	1147
0	1249
23	229
109	226
0	267
1	263
0	258
0	266
