UniqueCount	AmbigCount
985	10
174	3
0	292
0	282
0	96
0	0
0	238
1	238
221	3
2	4807
1110	4813
349	755
1	751
0	621
4	384
3	385
12	385
4	0
0	2680
0	2630
0	2652
0	2610
0	2660
139	1
179	5
1600	19
3	0
0	2
0	2
5	0
0	595
0	737
19	684
288	3
8	0
0	179
5	179
0	5
0	1
0	1
2	0
7	218
0	218
0	0
0	5
1	165
0	4
0	0
0	0
0	0
0	0
0	0
0	0
9	0
5	0
0	1346
2	1694
0	1507
47	1462
329	1889
0	1536
36	1697
14	116
24	116
0	189
21	189
0	105
13	105
320	4
0	0
99	2
0	0
0	1015
0	1009
0	1148
14	1237
4	1205
4	1174
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
150	1
0	0
0	175
0	175
1	175
0	3
0	3
1	1
0	1
2	0
0	20
41	20
0	4
0	4
0	4
0	863
0	843
1	0
6	0
2	0
0	4
1	4
7	38
0	38
0	0
0	3
0	3
0	3
7	1671
10	1670
1	78
0	77
12	1238
0	1238
0	0
2	0
0	0
0	0
1197	6
0	0
0	118
0	134
0	119
0	59
0	84
0	106
0	68
0	119
0	97
0	115
0	100
11	113
0	119
0	0
62	0
0	1024
13	814
0	1024
0	0
7	0
0	4
0	3
0	4
0	4
0	2
14	0
19	0
0	0
1	123
36	124
3698	52
15	1
0	66
0	66
0	50
0	15340
0	17204
1	1
0	1
367	6
0	0
0	0
10	213
2	213
2	211
74	3
4	0
0	0
245	1
2	4311
177	4314
26	2
165	3
1	257
0	0
213	4
157	7640
0	7639
22	290
0	290
0	291
1	291
5	0
0	78
0	78
1	78
0	78
0	78
0	537
9	538
245	18324
1026	18328
2	0
0	0
1	0
155	1654
0	298
11	295
0	24
7	24
0	1454
0	1366
1	1428
0	1436
0	1478
803	6
147	5
0	0
0	127
0	127
5	0
0	0
0	0
6	1
119	0
4	2681
0	2731
26	2731
76	751
0	750
0	0
1	191
3	191
3	368
0	497
885	542
0	328
0	503
10	496
0	139
7	141
0	121
1	141
0	145
385	7
366	6
141	1
0	0
3	0
0	0
0	0
272	5
174	4
7	859
20	859
6	0
0	754
2	745
15	746
0	656
61	0
104	1
0	441
0	449
0	407
0	483
0	1
1	0
6	0
1	61
0	61
0	37
117	3
1	0
138	3
0	0
1	362
0	362
18	178
2	178
226	4
1	2
0	2
0	0
12	0
176	2
0	587
11	498
0	415
173	4
37	2538
739	4110
13	3403
0	4126
29	0
0	939
28	972
6	940
6	972
1741	1084
17	1076
0	1076
456	7
0	1
0	1
166	0
124	487
2	459
9	451
1	1
0	110
3	110
4987	1501
2	1379
0	1393
0	1486
59	0
51	1
0	0
4	0
1	0
0	2
1	0
1119	9
0	0
16	291
0	291
0	0
34	1
205	1049
25	1048
0	2
0	2
2015	16
45	0
1024	13
0	3
1	3
0	2
1	2
0	18
0	18
211	4
199	2
1	3602
72	5043
0	3614
0	3680
0	1709
14	3502
8	5423
3	3546
8	1723
855	10
0	0
0	632
1114	752
19	783
4	0
389	3
130	212
40	1
1	519
1	519
6	284
35	286
1	286
421	289
1	9
2	9
0	2531
0	1004
0	887
0	1049
2	982
0	2693
0	3271
0	3371
0	3344
0	3284
0	3257
722	9
1	0
0	384
5	384
1	1126
96	1269
0	1274
0	3617
167	3541
374	1
14	0
0	3337
0	1204
8	3337
0	3328
0	1201
0	3350
0	2657
5	3343
0	4
0	7
0	7
0	7
0	0
0	59
0	59
0	0
0	0
0	170
5	195
1	179
1	170
1	194
583	5
19	0
0	94
0	97
0	102
0	97
0	102
0	5
1	124
0	5
1259	12
26	149
1	149
1186	756
0	746
181	3
405	2
1	0
2	0
0	5
0	5
0	3
2	0
2	0
0	0
0	0
0	0
16	368
0	368
6	907
7	637
0	907
0	637
76	102
0	101
0	1
0	1
0	155
2	155
2	155
11	0
2	0
5	230
3	230
12	0
111	0
23	81
0	81
4	80
0	1236
8	1043
0	1236
14	63
1	63
13	63
74	2
0	14
0	14
5	0
25	0
76	277
9	277
0	0
0	0
0	1
0	1
1	1
1	0
0	462
0	260
1	453
0	452
0	253
9	255
1	0
7	145
9	145
1	125
483	2
8	22
1	20
0	21
0	0
0	0
4	0
1	0
2	0
1	0
0	20
0	20
0	19
0	19
4	0
186	1
10	72
0	72
0	0
153	4
0	6
133	1
23	314
0	314
333	3
1293	5
0	8
0	142
0	142
2	141
0	0
0	0
202	0
20	53
0	52
1	0
4	0
0	2405
0	2547
0	2885
0	2719
87	2575
0	2505
2	55
0	55
10	8
3	0
195	2
0	1
0	1
1	0
0	3
0	3
0	3
0	3
171	1
0	0
0	0
0	0
0	0
0	980
97	989
317	995
6	206
1	206
1	3202
0	3794
0	6661
0	3070
498	6620
0	3272
0	727
0	2427
0	1050
1	1050
0	1086
0	1418
858	2395
121	0
588	4
0	414
13	414
538	2444
0	2432
8	0
167	1
106	1047
0	1046
0	156
4	156
361	5
126	2
13	0
39	932
0	1088
27	1088
0	4
0	4
67	274
0	272
274	4
221	3
6	342
5	342
1	342
0	1249
0	1259
0	1208
23	1198
0	1218
0	1182
5	450
5	475
133	448
11	477
6	0
131	1
0	1
0	1
4	0
3	8
1	8
0	0
0	0
27	938
47	938
1	0
