UniqueCount	AmbigCount
992	7
179	2
0	326
0	312
0	141
0	0
0	230
1	230
226	4
3	5001
1137	5010
346	636
0	630
1	507
3	412
0	417
19	418
6	0
0	2482
0	2459
0	2462
0	2431
0	2454
154	2
184	2
1461	21
0	0
0	1
2	1
1	0
0	549
0	717
23	679
226	3
13	0
0	154
3	154
0	4
0	0
0	0
3	0
6	200
0	200
1	0
0	5
1	177
0	5
2	1
0	1
0	0
0	0
0	0
0	0
4	0
0	0
0	1233
2	1575
0	1392
60	1340
367	1737
0	1423
51	1583
10	96
35	96
0	175
28	175
0	95
7	95
255	3
0	0
110	4
0	0
0	926
0	926
0	1030
8	1098
5	1068
3	1051
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
117	1
0	0
0	162
0	161
2	162
0	1
0	1
0	0
0	0
0	0
0	24
38	24
0	0
0	0
0	0
0	844
0	813
1	0
22	0
4	0
0	5
0	5
7	33
0	33
1	0
0	0
0	0
0	0
5	1464
16	1464
0	60
0	60
6	1095
1	1094
0	0
0	0
0	0
0	0
1031	10
0	0
0	127
0	144
0	131
0	70
0	94
0	118
0	74
0	131
0	107
0	122
0	112
18	117
0	131
0	0
68	0
0	1172
21	919
0	1172
0	0
5	0
0	5
0	5
0	5
1	5
0	5
38	0
1	0
0	0
0	119
23	119
3187	36
11	0
3	133
0	133
0	23
0	16394
0	18255
0	1
0	1
311	1
1	0
0	0
9	196
1	196
2	195
80	1
0	0
0	0
244	3
0	3592
143	3593
25	0
224	4
2	232
0	0
213	6
173	7776
0	7774
5	288
0	287
0	287
0	287
2	0
0	106
0	106
1	107
0	107
1	106
0	625
11	625
273	14883
825	14888
0	0
0	2
0	2
106	1292
0	219
8	219
0	26
4	26
0	1299
0	1204
3	1287
0	1282
0	1319
672	8
149	2
0	0
1	94
0	94
0	0
0	0
0	0
4	0
120	2
1	2363
0	2403
32	2403
75	700
0	698
0	0
0	196
7	196
3	326
0	420
838	455
0	259
1	447
12	440
0	109
6	107
0	93
0	107
0	112
495	11
772	2
140	1
0	0
3	0
0	0
0	0
269	3
143	0
15	817
18	816
1	0
0	712
1	706
10	700
0	595
41	1
72	2
0	429
0	453
0	396
0	486
0	1
1	0
0	0
2	86
0	86
0	54
98	1
0	0
131	1
1	0
1	319
0	319
8	199
0	199
217	1
0	1
0	1
0	0
13	0
143	0
0	526
7	437
0	355
176	1
36	2375
722	3748
20	3099
0	3761
23	2
0	852
31	890
11	852
3	890
1561	861
22	853
0	853
425	8
0	0
0	0
196	4
130	484
5	460
11	457
1	0
0	98
6	98
4553	1159
1	1049
0	1058
0	1129
78	1
53	0
0	0
1	0
0	0
0	0
1	0
940	4
0	0
27	308
2	308
0	0
45	1
198	990
23	987
0	2
0	2
2000	22
52	0
978	9
1	0
0	0
0	2
0	2
0	13
0	13
217	5
241	5
0	3092
50	4598
0	3103
0	3159
0	1445
13	3008
5	4914
3	3038
8	1462
849	7
0	0
0	526
1166	677
29	691
3	0
329	2
149	123
46	0
2	443
5	443
4	273
17	273
1	273
412	274
0	10
4	10
0	2263
0	765
0	670
0	822
6	763
0	2415
3	3142
0	3251
0	3221
0	3174
0	3144
670	12
0	0
0	384
7	386
0	883
67	990
0	992
0	3115
125	3063
429	4
14	0
2	2964
0	975
3	2964
0	2972
0	970
0	2987
0	2375
10	2980
0	3
0	8
0	13
0	13
0	0
0	68
0	68
0	0
0	0
0	173
4	189
4	181
0	173
0	188
568	6
20	1
0	80
0	82
0	85
0	83
0	86
0	7
0	133
0	7
1147	14
27	132
1	132
1010	620
0	610
152	2
349	3
1	0
2	0
0	1
0	1
0	1
0	0
0	0
0	1
0	1
0	0
16	318
0	318
5	781
2	524
0	781
0	524
62	114
0	113
0	0
0	0
0	144
0	144
1	143
9	0
0	0
7	179
3	177
9	0
93	0
6	78
0	78
4	77
0	1149
9	953
0	1149
15	90
1	90
8	89
75	1
0	23
1	23
7	0
29	0
86	307
7	307
0	0
0	0
0	2
0	2
0	2
0	0
0	391
0	185
1	379
