UniqueCount	AmbigCount
1019	10
168	1
0	245
0	232
1	107
0	0
0	253
0	253
199	3
2	4591
1091	4600
337	718
0	713
2	593
1	386
1	389
10	390
2	0
0	2523
0	2468
0	2484
0	2449
0	2504
155	1
144	3
1366	18
0	0
0	0
0	0
0	0
1	490
0	600
9	554
221	2
4	0
0	174
4	174
0	10
0	0
1	0
0	0
8	200
0	200
0	0
0	3
0	159
0	2
0	1
0	1
0	0
0	0
0	0
0	0
0	1
1	0
0	1291
7	1761
0	1480
55	1433
299	1929
0	1579
49	1768
15	104
28	105
1	231
32	232
0	85
4	85
261	4
0	0
79	1
1	0
2	1025
0	1023
0	906
20	991
3	968
2	947
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
159	0
0	0
0	183
0	177
1	183
0	0
0	0
0	0
0	0
0	0
0	19
25	19
0	0
0	0
1	0
0	823
0	796
1	0
7	1
9	0
0	1
0	1
5	35
0	35
2	0
0	0
0	0
0	0
11	1395
9	1395
0	66
0	66
11	845
2	845
0	0
0	0
0	0
1	0
1061	7
0	0
0	95
0	113
0	99
0	54
0	83
0	83
0	58
0	100
0	71
0	86
0	80
3	84
0	100
0	0
63	2
3	1363
19	1112
0	1363
0	0
10	0
0	4
1	4
0	3
0	4
0	3
42	0
0	0
0	0
1	84
28	85
3406	47
9	0
3	230
0	230
0	110
0	19186
0	21447
0	0
0	0
326	5
1	0
1	0
4	152
3	152
0	152
11	1
0	0
0	0
196	6
2	3326
131	3328
15	0
205	7
1	181
0	0
255	0
167	7101
0	7100
16	296
0	296
0	299
0	299
2	0
0	161
0	160
3	161
0	160
3	161
0	1211
31	1211
260	15510
860	15517
0	0
0	1
1	1
137	1325
0	260
3	260
0	34
3	34
1	1202
0	1116
3	1175
0	1191
0	1223
757	6
155	2
0	0
0	74
0	74
0	0
0	0
0	0
9	0
119	1
3	2787
0	2842
35	2842
47	483
0	483
0	0
0	128
6	128
0	311
0	407
669	443
0	266
4	425
5	417
0	86
4	88
0	77
0	88
0	92
833	19
